id_vente,id_date,id_produit,id_client,id_region,id_livreur,quantite_vendue,montant_ht,montant_ttc,delai_livraison_jours,prix_unitaire,statut_commande
58,20230621,108,447.0,1,32,3,29167.13,35000.55,3,11666.85,annulé
59,20230611,69,287.0,6,17,4,5137.73,6165.28,153,1541.32,en_cours
60,20240205,64,805.0,11,16,2,1055.23,1266.28,6,633.14,annulé
61,20231119,57,198.0,9,47,14,29929.43,35915.32,6,2565.38,annulé
62,20230720,16,305.0,4,45,12,142354.9,170825.88,3,14235.49,livré
63,20240819,119,118.0,11,40,11,100087.9,120105.48,5,10918.68,en_cours
64,20230416,56,670.0,6,39,18,216860.85,260233.02,5,14457.39,retourné
65,20240328,68,833.0,11,27,15,133774.75,160529.7,2,10701.98,annulé
66,20231007,8,794.0,1,10,10,83165.08,99798.1,-82,9979.81,livré
67,20240913,42,466.0,11,20,5,51728.71,62074.45,3,12414.89,retourné
68,20240919,93,775.0,9,25,16,151062.13,181274.56,5,11329.66,annulé
69,20240131,72,453.0,1,26,10,77041.58,92449.9,7,9244.99,retourné
70,20240319,80,287.0,10,46,14,161651.58,193981.9,10,13855.85,en_cours
71,20240409,107,640.0,11,36,8,16871.8,20246.16,8,2530.77,retourné
72,20231227,24,981.0,9,24,7,6950.07,8340.08,126,1191.44,livré
73,20230824,41,924.0,1,48,17,127746.5,153295.8,5,9017.4,livré
74,20231017,27,28.0,6,47,14,158385.5,190062.6,7,13575.9,en_cours
75,20240901,63,250.0,1,11,3,21711.6,26053.92,5,8684.64,en_cours
76,20240717,20,877.0,11,1,2,8096.33,9715.6,9,4857.8,annulé
77,20230516,36,508.0,1,12,3,27017.5,32421.0,3,10807.0,en_cours
78,20230507,38,700.0,6,36,15,175783.38,210940.05,9,14062.67,en_cours
79,20240928,96,836.0,6,10,18,140634.75,168761.7,8,9375.65,en_cours
80,20230519,51,843.0,6,37,3,29429.3,35315.16,7,11771.72,en_cours
81,20231023,87,986.0,11,1,19,13719.27,16463.12,3,866.48,livré
82,20241128,63,633.0,1,32,3,31711.62,38053.95,8,12684.65,livré
83,20230203,41,753.0,1,40,19,79190.1,95028.12,8,5001.48,retourné
84,20240722,103,931.0,1,38,17,105077.85,126093.42,8,7417.26,livré
85,20240413,70,976.0,1,1,11,53913.2,64695.84,10,5881.44,annulé
86,20230103,115,348.0,1,43,11,108573.02,130287.63,59,11844.33,en_cours
87,20231102,36,776.0,15,45,18,165086.4,198103.68,2,11005.76,retourné
88,20230120,11,417.0,9,21,6,73371.2,88045.44,4,14674.24,en_cours
89,20230307,4,148.0,13,2,3,32151.72,38582.07,7,12860.69,retourné
90,20240401,106,957.0,4,51,18,179112.0,214934.4,4,11940.8,annulé
91,20230830,18,947.0,1,36,12,111398.6,133678.32,7,11139.86,en_cours
92,20230506,113,861.0,13,19,10,33599.25,40319.1,40,4031.91,livré
93,20240816,81,374.0,1,44,15,75726.88,90872.25,6,6058.15,annulé
94,20240520,89,728.0,13,21,11,56060.22,67272.26,3,6115.66,livré
95,20240827,29,966.0,4,15,12,19727.3,23672.76,9,1972.73,livré
96,20240213,50,966.0,15,32,8,85351.93,102422.32,10,12802.79,retourné
97,20230606,35,357.0,13,11,5,31701.62,38041.95,7,7608.39,retourné
98,20230315,77,483.0,10,1,2,14445.45,17334.54,9,8667.27,en_cours
99,20230529,40,667.0,1,46,12,102026.2,122431.44,10,10202.62,en_cours
100,20240313,66,888.0,1,15,7,8426.78,10112.13,10,1444.59,en_cours
101,20240112,94,362.0,1,33,11,100030.06,120036.07,2,10912.37,retourné
102,20230409,9,657.0,9,10,11,96494.2,115793.04,1,10526.64,en_cours
103,20240302,117,178.0,15,39,8,13725.93,16471.12,5,2058.89,livré
104,20231128,22,718.0,1,12,20,139082.17,166898.6,2,8344.93,en_cours
105,20240112,103,957.0,1,12,1,4956.66,5947.99,244,5947.99,en_cours
106,20240804,74,993.0,13,25,7,25011.23,30013.48,1,4287.64,livré
107,20240619,105,74.0,4,1,4,6177.27,7412.72,10,1853.18,livré
108,20230322,12,717.0,1,18,11,98019.62,117623.55,9,10693.05,en_cours
109,20240727,58,89.0,13,12,9,68321.4,81985.68,-110,9109.52,en_cours
110,20241107,6,588.0,13,35,8,69258.47,83110.16,30,10388.77,retourné
111,20240904,67,20.0,9,50,3,19901.5,23881.8,91,7960.6,livré
112,20240922,104,921.0,1,50,2,7398.32,8877.98,2,4438.99,annulé
113,20230702,114,375.0,1,1,5,26885.71,32262.85,10,6452.57,en_cours
114,20240617,100,398.0,13,6,12,119170.5,143004.6,9,11917.05,en_cours
115,20231116,12,937.0,10,2,10,103241.25,123889.5,2,12388.95,en_cours
116,20230531,100,957.0,1,41,5,52837.62,63405.15,128,12681.03,livré
117,20240127,113,104.0,1,2,20,117342.33,140810.8,3,7040.54,annulé
118,20231030,120,494.0,1,10,8,75450.93,90541.12,-172,11317.64,annulé
119,20230916,83,645.0,13,29,12,111923.3,134307.96,7,11192.33,en_cours
120,20230812,8,836.0,11,51,11,122035.56,146442.67,124,13312.97,livré
121,20240304,113,655.0,15,45,19,225060.38,270072.46,2,14214.34,en_cours
122,20240103,110,265.0,15,42,1,11091.28,13309.53,305,13309.53,retourné
123,20230803,83,398.0,10,22,20,150188.33,180226.0,3,9011.3,annulé
124,20230211,9,930.0,1,13,9,105984.98,127181.97,8,14131.33,retourné
125,20240729,17,282.0,1,14,6,65077.1,78092.52,5,13015.42,annulé
126,20230825,114,70.0,6,23,12,83321.7,99986.04,4,8332.17,en_cours
127,20231209,120,64.0,15,6,16,122399.47,146879.36,10,9179.96,livré
128,20230504,9,349.0,4,8,12,54383.5,65260.2,3,5438.35,en_cours
129,20231114,30,907.0,4,41,3,24307.9,29169.48,9,9723.16,annulé
130,20231105,91,38.0,9,21,14,92910.42,111492.5,5,7963.75,retourné
131,20231027,112,40.0,9,31,4,4343.0,5211.6,7,1302.9,retourné
132,20240406,85,17.0,1,11,2,8077.03,9692.44,214,4846.22,annulé
133,20231001,64,499.0,6,31,14,45641.05,54769.26,1,3912.09,en_cours
134,20230620,88,134.0,1,45,17,137654.52,165185.43,4,9716.79,retourné
135,20230916,49,246.0,1,45,16,190415.87,228499.04,7,14281.19,en_cours
136,20240713,44,646.0,9,1,5,777.46,932.95,7,186.59,retourné
137,20240223,15,771.0,11,4,18,110725.5,132870.6,7,7381.7,livré
138,20230914,58,943.0,11,35,17,121371.92,145646.31,5,8567.43,annulé
139,20241030,43,577.0,1,33,5,15398.58,18478.3,-80,3695.66,en_cours
140,20240304,25,297.0,1,11,20,143006.33,171607.6,5,8580.38,en_cours
141,20231005,58,132.0,15,2,4,20980.23,25176.28,7,6294.07,retourné
142,20230213,79,472.0,13,1,5,44352.67,53223.2,9,10644.64,en_cours
143,20240306,98,830.0,1,26,12,43064.1,51676.92,4,4306.41,annulé
144,20231122,52,730.0,15,6,10,107435.5,128922.6,5,12892.26,livré
145,20230305,105,636.0,11,17,15,107646.25,129175.5,214,8611.7,livré
146,20230316,69,340.0,15,31,20,83955.17,100746.2,2,5037.31,annulé
147,20230823,62,8.0,9,8,12,40977.3,49172.76,6,4097.73,retourné
148,20230626,108,886.0,13,6,15,81484.12,97780.95,7,6518.73,livré
149,20230722,80,164.0,10,26,19,24286.59,29143.91,-195,1533.89,livré
150,20230613,92,87.0,11,22,2,6064.0,7276.8,8,3638.4,en_cours
151,20230427,117,187.0,1,37,5,44972.42,53966.9,8,10793.38,en_cours
152,20240812,25,170.0,15,2,20,197109.67,236531.6,10,11826.58,retourné
153,20240402,23,581.0,1,25,4,23465.03,28158.04,2,7039.51,livré
154,20241021,75,356.0,11,1,4,8001.9,9602.28,8,2400.57,en_cours
155,20230218,19,692.0,11,14,8,7138.13,8565.76,6,1070.72,en_cours
156,20241219,36,627.0,10,1,18,90027.3,108032.76,4,6001.82,en_cours
157,20230505,74,527.0,11,1,9,2319.75,2783.7,9,309.3,annulé
158,20230519,87,119.0,1,1,4,35522.4,42626.88,5,10656.72,livré
159,20230114,77,279.0,9,45,9,4591.42,5509.71,1,612.19,retourné
160,20230407,90,137.0,1,39,16,101233.07,121479.68,3,7592.48,livré
161,20230910,45,367.0,11,6,3,822.48,986.97,30,328.99,livré
162,20240302,54,150.0,9,4,2,5066.38,6079.66,3,3039.83,annulé
163,20231122,16,998.0,9,2,18,9464.4,11357.28,-283,630.96,en_cours
164,20240618,76,399.0,13,48,11,100557.6,120669.12,10,10969.92,livré
165,20230820,92,70.0,11,1,12,64675.8,77610.96,10,6467.58,livré
166,20240209,87,637.0,13,8,20,99298.67,119158.4,4,5957.92,en_cours
167,20240422,67,996.0,11,1,1,3125.61,3750.73,-77,3750.73,en_cours
168,20240910,19,232.0,1,49,5,42641.33,51169.6,8,10233.92,annulé
169,20241204,51,845.0,9,25,4,12205.67,14646.8,3,3661.7,retourné
170,20240611,49,628.0,1,11,14,74867.92,89841.5,156,6417.25,livré
171,20230113,94,989.0,10,43,7,17548.65,21058.38,4,3008.34,en_cours
172,20230323,44,590.0,15,30,12,10347.7,12417.24,5,1034.77,livré
173,20240220,75,492.0,9,26,6,48143.1,57771.72,5,9628.62,en_cours
174,20230326,24,783.0,1,27,13,134413.28,161295.94,5,12407.38,livré
175,20230523,73,73.0,1,12,2,18707.83,22449.4,5,11224.7,livré
176,20240107,75,713.0,1,20,6,11358.75,13630.5,121,2271.75,en_cours
177,20230731,72,46.0,1,1,6,937.35,1124.82,8,187.47,retourné
178,20230513,1,68.0,1,48,18,93177.45,111812.94,5,6211.83,livré
179,20240104,67,235.0,10,12,8,44946.73,53936.08,6,6742.01,livré
180,20240812,63,490.0,1,31,19,21725.39,26070.47,123,1372.13,en_cours
181,20240722,96,378.0,15,43,17,72991.77,87590.12,9,5152.36,livré
182,20230216,120,753.0,1,1,11,80462.71,96555.25,10,8777.75,livré
183,20241025,119,198.0,11,4,7,21183.69,25420.43,-228,3631.49,retourné
184,20241106,48,22.0,9,27,8,64326.53,77191.84,-144,9648.98,en_cours
185,20241210,117,582.0,1,32,20,81015.0,97218.0,2,4860.9,annulé
186,20240920,64,802.0,1,19,7,56200.38,67440.45,7,9634.35,annulé
187,20230613,105,794.0,11,39,2,19058.8,22870.56,4,11435.28,en_cours
188,20231007,72,461.0,13,31,10,26717.25,32060.7,8,3206.07,livré
189,20241106,15,1.0,1,51,16,141530.4,169836.48,8,10614.78,en_cours
190,20241221,20,705.0,10,36,4,36962.6,44355.12,8,11088.78,en_cours
191,20241005,98,80.0,13,34,1,5738.31,6885.97,-142,6885.97,en_cours
192,20240412,58,153.0,4,5,19,13065.51,15678.61,7,825.19,annulé
193,20230513,8,696.0,6,48,2,15874.67,19049.6,8,9524.8,livré
194,20240630,83,246.0,1,35,16,1248.13,1497.76,99,93.61,retourné
195,20240917,77,59.0,1,48,9,54100.42,64920.51,9,7213.39,retourné
196,20241129,65,781.0,1,27,19,145081.63,174097.95,-231,9163.05,annulé
197,20230309,55,207.0,1,27,6,8621.9,10346.28,10,1724.38,annulé
198,20230511,91,569.0,9,2,8,48820.53,58584.64,10,7323.08,livré
199,20240518,104,324.0,9,43,12,23655.9,28387.08,6,2365.59,en_cours
200,20230502,1,782.0,6,17,7,39725.23,47670.28,-76,6810.04,en_cours
201,20240118,2,878.0,1,49,2,7249.75,8699.7,1,4349.85,livré
202,20240417,114,481.0,11,7,8,73468.93,88162.72,8,11020.34,en_cours
203,20230731,96,678.0,6,27,3,24897.58,29877.09,6,9959.03,en_cours
204,20241221,117,751.0,10,26,7,68687.79,82425.35,2,11775.05,en_cours
205,20230527,115,64.0,1,36,1,1981.54,2377.85,1,2377.85,en_cours
206,20230331,52,761.0,15,6,6,24427.8,29313.36,4,4885.56,en_cours
207,20231005,54,127.0,10,47,20,149405.67,179286.8,1,8964.34,en_cours
208,20231205,74,607.0,1,33,12,144281.8,173138.16,9,14428.18,livré
209,20230519,110,925.0,4,25,9,47178.82,56614.59,8,6290.51,en_cours
210,20231115,11,97.0,13,30,16,79544.8,95453.76,10,5965.86,annulé
211,20231211,61,727.0,4,29,19,227332.31,272798.77,-20,14357.83,annulé
212,20230618,99,583.0,9,1,19,205326.03,246391.24,3,12967.96,en_cours
213,20241029,69,56.0,1,51,20,6327.5,7593.0,2,379.65,livré
214,20230320,106,396.0,15,29,6,61114.5,73337.4,9,12222.9,en_cours
215,20230303,91,276.0,10,22,10,104733.5,125680.2,6,12568.02,en_cours
216,20231207,17,280.0,1,8,18,113062.5,135675.0,-143,7537.5,en_cours
217,20231121,109,507.0,1,13,13,31953.78,38344.54,2,2949.58,retourné
218,20230803,1,801.0,1,46,15,156486.0,187783.2,-140,12518.88,annulé
219,20230930,75,290.0,1,22,1,6874.74,8249.69,5,8249.69,retourné
220,20230130,49,497.0,6,2,20,41754.5,50105.4,184,2505.27,en_cours
221,20230402,68,336.0,1,8,2,7620.25,9144.3,10,4572.15,retourné
222,20230620,57,270.0,11,47,20,102799.83,123359.8,3,6167.99,livré
223,20231212,89,868.0,9,51,7,18308.85,21970.62,1,3138.66,annulé
224,20230318,34,995.0,1,47,15,113988.38,136786.05,4,9119.07,livré
225,20241218,102,506.0,9,1,7,67497.15,80996.58,9,11570.94,en_cours
226,20240612,69,773.0,9,13,12,35892.2,43070.64,92,3589.22,en_cours
227,20240114,101,169.0,10,43,20,116768.17,140121.8,5,7006.09,livré
228,20230308,108,284.0,6,1,17,23648.28,28377.93,5,1669.29,retourné
229,20240624,58,627.0,1,41,4,17206.73,20648.08,3,5162.02,en_cours
230,20240913,44,95.0,1,42,16,48969.07,58762.88,1,3672.68,annulé
231,20230125,51,66.0,4,16,5,5286.58,6343.9,-23,1268.78,annulé
232,20230904,6,957.0,9,1,2,5844.17,7013.0,9,3506.5,retourné
233,20240229,28,111.0,9,50,17,178529.75,214235.7,10,12602.1,annulé
234,20240906,93,755.0,4,37,14,166129.83,199355.8,6,14239.7,annulé
235,20240220,110,139.0,15,47,3,30027.82,36033.39,8,12011.13,en_cours
236,20230908,105,608.0,1,47,1,7097.97,8517.56,-25,8517.56,annulé
237,20231011,82,509.0,1,14,18,86128.2,103353.84,8,5741.88,livré
238,20241211,33,216.0,11,8,12,17159.1,20590.92,8,1715.91,livré
239,20230219,108,705.0,9,38,10,45622.92,54747.5,1,5474.75,livré
240,20231203,64,291.0,4,26,8,7851.13,9421.36,-260,1177.67,en_cours
241,20240823,68,634.0,1,34,18,117624.9,141149.88,2,7841.66,en_cours
242,20240903,107,396.0,1,14,9,32470.8,38964.96,61,4329.44,en_cours
243,20231023,118,831.0,4,15,9,34121.93,40946.31,5,4549.59,en_cours
244,20230920,40,26.0,9,11,7,23782.32,28538.79,10,4076.97,annulé
245,20240730,73,446.0,4,2,15,179909.25,215891.1,-204,14392.74,annulé
246,20230303,15,960.0,11,23,5,28884.0,34660.8,10,6932.16,en_cours
247,20230723,86,489.0,15,5,9,52487.92,62985.51,4,6998.39,livré
248,20230903,61,303.0,1,51,15,120253.88,144304.65,-173,9620.31,retourné
249,20230518,110,680.0,10,44,9,101336.25,121603.5,5,13511.5,livré
250,20230630,88,104.0,6,41,5,2442.46,2930.95,7,586.19,retourné
251,20230715,40,560.0,1,2,1,8381.81,10058.17,7,10058.17,en_cours
252,20240120,100,85.0,1,8,2,11744.22,14093.06,9,7046.53,livré
253,20230120,53,788.0,1,31,10,39199.08,47038.9,7,4703.89,annulé
254,20240321,32,741.0,1,41,15,120300.0,144360.0,3,9624.0,en_cours
255,20230415,118,210.0,13,25,13,73401.58,88081.89,2,6775.53,en_cours
256,20231211,32,590.0,1,34,2,23415.5,28098.6,4,14049.3,en_cours
257,20241212,56,588.0,1,47,8,14439.0,17326.8,7,2165.85,annulé
258,20230903,89,116.0,13,36,6,7929.25,9515.1,8,1585.85,en_cours
259,20240124,48,350.0,1,33,20,14219.17,17063.0,6,853.15,livré
260,20230710,44,168.0,13,25,13,32018.13,38421.76,31,2955.52,en_cours
261,20241216,102,599.0,6,51,10,58662.92,70395.5,4,7039.55,livré
262,20230924,41,781.0,4,51,5,30336.75,36404.1,6,7280.82,retourné
263,20230309,14,125.0,9,49,17,209227.92,251073.51,8,14769.03,livré
264,20230222,77,14.0,13,17,4,8032.5,9639.0,7,2409.75,en_cours
265,20241215,88,233.0,1,22,8,18663.2,22395.84,4,2799.48,annulé
266,20230717,42,56.0,1,1,16,161507.73,193809.28,3,12113.08,annulé
267,20241129,60,143.0,1,7,9,12390.15,14868.18,7,1652.02,retourné
268,20241126,119,231.0,1,29,7,61369.82,73643.78,4,10520.54,en_cours
269,20240918,12,456.0,1,28,14,3217.9,3861.48,7,275.82,annulé
270,20240202,15,745.0,15,23,8,64496.53,77395.84,8,9674.48,en_cours
271,20230111,104,234.0,1,16,11,18461.76,22154.11,304,2014.01,en_cours
272,20241223,79,870.0,1,8,3,8622.08,10346.49,5,3448.83,annulé
273,20241225,26,565.0,9,1,2,2136.8,2564.16,38,1282.08,retourné
274,20231228,22,508.0,6,35,16,152356.0,182827.2,6,11426.7,en_cours
275,20240426,111,985.0,1,32,13,28574.43,34289.32,1,2637.64,livré
276,20240201,101,361.0,1,1,13,40958.88,49150.66,7,3780.82,en_cours
277,20230407,93,243.0,4,26,14,141798.3,170157.96,4,12154.14,livré
278,20230222,38,80.0,10,9,11,62249.28,74699.13,5,6790.83,retourné
279,20240214,18,292.0,9,26,17,98864.92,118637.9,7,6978.7,en_cours
280,20241122,105,778.0,15,18,5,53009.12,63610.95,-315,12722.19,en_cours
281,20241228,101,464.0,1,7,5,11524.5,13829.4,4,2765.88,en_cours
282,20230416,115,582.0,6,19,1,3430.94,4117.13,4,4117.13,en_cours
283,20241120,14,579.0,9,48,18,115078.5,138094.2,4,7671.9,annulé
284,20240819,57,73.0,1,43,11,97512.98,117015.58,3,10637.78,en_cours
285,20230726,96,843.0,6,48,3,15562.0,18674.4,-109,6224.8,annulé
286,20231117,31,306.0,13,45,7,20788.78,24946.53,2,3563.79,retourné
287,20230915,46,756.0,9,35,6,43639.15,52366.98,7,8727.83,livré
288,20231214,25,404.0,1,43,7,81097.62,97317.15,9,13902.45,annulé
289,20241020,12,801.0,10,34,6,18619.5,22343.4,3,3723.9,en_cours
290,20240705,119,185.0,1,27,2,21834.83,26201.8,3,13100.9,en_cours
291,20240324,58,913.0,15,31,2,714.02,856.82,-20,428.41,en_cours
292,20240928,38,288.0,4,7,12,93080.7,111696.84,3,9308.07,livré
293,20240516,94,533.0,4,19,19,70453.74,84544.49,5,4449.71,retourné
294,20240514,28,644.0,10,31,3,36592.83,43911.39,5,14637.13,livré
295,20230312,89,971.0,9,38,9,98560.42,118272.51,3,13141.39,retourné
296,20231223,2,313.0,1,2,9,73957.42,88748.91,6,9860.99,en_cours
297,20241104,60,487.0,9,6,12,93050.5,111660.6,7,9305.05,retourné
298,20241207,118,292.0,13,11,14,155782.78,186939.34,9,13352.81,livré
299,20241115,28,610.0,11,47,6,61150.5,73380.6,1,12230.1,retourné
300,20230726,25,912.0,4,28,16,124445.2,149334.24,10,9333.39,en_cours
301,20240413,87,711.0,1,38,12,57976.0,69571.2,3,5797.6,en_cours
302,20231114,118,447.0,1,29,2,9609.72,11531.66,6,5765.83,en_cours
303,20231003,84,482.0,6,35,4,47967.1,57560.52,7,14390.13,annulé
304,20230914,66,228.0,4,37,16,91570.53,109884.64,9,6867.79,en_cours
305,20240917,47,572.0,15,9,14,63763.7,76516.44,4,5465.46,livré
306,20240713,116,773.0,9,38,10,24859.92,29831.9,4,2983.19,livré
307,20230402,11,198.0,1,22,2,19279.98,23135.98,4,11567.99,livré
308,20231104,113,985.0,10,46,7,42022.98,50427.58,1,7203.94,en_cours
309,20230608,56,331.0,11,21,11,14764.48,17717.37,6,1610.67,retourné
310,20230611,3,41.0,6,20,15,141452.0,169742.4,4,11316.16,en_cours
311,20241217,66,56.0,9,47,19,17728.43,21274.11,4,1119.69,en_cours
312,20230217,15,42.0,1,12,4,9839.57,11807.48,8,2951.87,en_cours
313,20230207,74,10.0,1,7,19,74899.42,89879.31,3,4730.49,retourné
314,20230126,7,346.0,11,12,5,34779.96,41735.95,-24,8347.19,en_cours
315,20230801,57,893.0,1,41,16,119729.87,143675.84,9,8979.74,annulé
316,20240528,60,841.0,13,25,9,64663.73,77596.47,-143,8621.83,livré
317,20240206,63,646.0,9,19,3,3150.62,3780.75,5,1260.25,retourné
318,20231125,51,679.0,15,15,10,48820.25,58584.3,2,5858.43,en_cours
319,20230521,50,502.0,11,7,13,72568.71,87082.45,4,6698.65,en_cours
320,20231011,24,94.0,1,36,6,62197.65,74637.18,1,12439.53,retourné
321,20230206,58,359.0,1,40,6,4442.75,5331.3,273,888.55,en_cours
322,20231116,65,78.0,1,2,9,29774.93,35729.91,1,3969.99,en_cours
323,20240530,21,427.0,10,9,20,88304.5,105965.4,-145,5298.27,annulé
324,20230113,110,553.0,1,1,19,156233.2,187479.84,8,9867.36,en_cours
325,20230601,81,675.0,4,34,12,16704.2,20045.04,4,1670.42,livré
326,20241024,26,127.0,4,5,11,15031.59,18037.91,4,1639.81,annulé
327,20230408,73,988.0,15,46,6,50789.05,60946.86,244,10157.81,retourné
328,20241123,9,499.0,4,36,17,94560.23,113472.28,3,6674.84,retourné
329,20231202,14,981.0,6,11,16,55604.4,66725.28,6,4170.33,livré
330,20240223,50,45.0,4,41,15,92560.88,111073.05,5,7404.87,en_cours
331,20240311,70,876.0,6,7,8,51498.87,61798.64,5,7724.83,retourné
332,20231103,114,720.0,4,18,7,41973.92,50368.71,7,7195.53,retourné
333,20240410,77,454.0,9,32,5,15393.54,18472.25,30,3694.45,en_cours
334,20230919,105,987.0,6,4,5,5074.75,6089.7,4,1217.94,retourné
335,20240904,16,442.0,11,37,19,185838.21,223005.85,4,11737.15,annulé
336,20231120,77,662.0,9,7,1,5443.07,6531.68,6,6531.68,en_cours
337,20230701,13,595.0,13,36,11,92048.18,110457.82,6,10041.62,retourné
338,20230610,111,444.0,1,51,10,103428.67,124114.4,9,12411.44,en_cours
339,20230621,96,177.0,9,5,16,111224.8,133469.76,3,8341.86,retourné
340,20240408,21,283.0,10,3,17,8618.43,10342.12,214,608.36,retourné
341,20241015,98,207.0,9,33,12,80739.0,96886.8,10,8073.9,annulé
342,20231130,96,955.0,11,42,13,143167.59,171801.11,6,13215.47,en_cours
343,20240612,118,197.0,10,44,16,72233.87,86680.64,3,5417.54,annulé
344,20241219,101,308.0,13,10,6,60431.6,72517.92,2,12086.32,en_cours
345,20240718,68,363.0,6,13,16,174886.93,209864.32,3,13116.52,retourné
346,20230105,36,685.0,1,18,17,149465.98,179359.18,2,10550.54,livré
347,20231104,29,805.0,1,26,3,31430.22,37716.27,6,12572.09,livré
348,20241209,39,72.0,10,15,14,111293.7,133552.44,-86,9539.46,en_cours
349,20240211,92,305.0,1,36,2,22726.27,27271.52,2,13635.76,livré
350,20240629,78,536.0,1,49,10,79417.5,95301.0,1,9530.1,en_cours
351,20230823,102,964.0,9,34,5,6470.96,7765.15,5,1553.03,livré
352,20240203,20,172.0,15,17,3,2238.3,2685.96,60,895.32,retourné
353,20241019,50,753.0,1,1,12,6785.1,8142.12,3,678.51,retourné
